Nr,longitude,latitude,Forest,Region
2,-62.25,9.95,1,GS
3,-62.15,9.95,1,GS
4,-62.05,9.95,1,GS
5,-62.35,9.85,1,GS
6,-62.25,9.85,1,GS
7,-62.15,9.85,1,GS
8,-62.05,9.85,1,GS
9,-61.95,9.85,1,GS
10,-61.55,9.85,1,GS
11,-62.25,9.75,1,GS
12,-62.15,9.75,1,GS
13,-62.05,9.75,1,GS
14,-61.95,9.75,1,GS
15,-61.85,9.75,1,GS
16,-61.75,9.75,1,GS
17,-61.65,9.75,1,GS
18,-61.55,9.75,1,GS
19,-61.45,9.75,1,GS
20,-62.35,9.65,1,GS
21,-62.25,9.65,1,GS
22,-62.15,9.65,1,GS
23,-62.05,9.65,1,GS
24,-61.95,9.65,1,GS
25,-61.85,9.65,1,GS
26,-61.75,9.65,1,GS
27,-61.65,9.65,1,GS
28,-61.55,9.65,1,GS
29,-61.45,9.65,1,GS
30,-61.35,9.65,1,GS
31,-62.35,9.55,1,GS
32,-62.25,9.55,1,GS
33,-62.15,9.55,1,GS
34,-62.05,9.55,1,GS
35,-61.95,9.55,1,GS
36,-61.85,9.55,1,GS
37,-61.75,9.55,1,GS
38,-61.65,9.55,1,GS
39,-61.55,9.55,1,GS
40,-61.45,9.55,1,GS
41,-61.35,9.55,1,GS
42,-61.25,9.55,1,GS
43,-61.15,9.55,1,GS
44,-62.35,9.45,1,GS
45,-62.25,9.45,1,GS
46,-62.15,9.45,1,GS
47,-62.05,9.45,1,GS
48,-61.95,9.45,1,GS
49,-61.85,9.45,1,GS
50,-61.75,9.45,1,GS
51,-61.65,9.45,1,GS
52,-61.55,9.45,1,GS
53,-61.45,9.45,1,GS
54,-61.35,9.45,1,GS
55,-61.25,9.45,1,GS
56,-61.15,9.45,1,GS
57,-61.05,9.45,1,GS
58,-60.95,9.45,1,GS
59,-62.25,9.35,1,GS
60,-62.15,9.35,1,GS
61,-62.05,9.35,1,GS
62,-61.95,9.35,1,GS
63,-61.85,9.35,1,GS
64,-61.75,9.35,1,GS
65,-61.65,9.35,1,GS
66,-61.55,9.35,1,GS
67,-61.45,9.35,1,GS
68,-61.35,9.35,1,GS
69,-61.25,9.35,1,GS
70,-61.15,9.35,1,GS
71,-61.05,9.35,1,GS
72,-60.95,9.35,1,GS
73,-60.85,9.35,1,GS
75,-62.15,9.25,1,GS
76,-62.05,9.25,1,GS
77,-61.95,9.25,1,GS
78,-61.85,9.25,1,GS
79,-61.75,9.25,1,GS
80,-61.65,9.25,1,GS
81,-61.55,9.25,1,GS
82,-61.45,9.25,1,GS
83,-61.35,9.25,1,GS
84,-61.25,9.25,1,GS
85,-61.15,9.25,1,GS
86,-61.05,9.25,1,GS
87,-60.95,9.25,1,GS
91,-62.05,9.15,1,GS
92,-61.95,9.15,1,GS
93,-61.85,9.15,1,GS
94,-61.75,9.15,1,GS
95,-61.65,9.15,1,GS
96,-61.55,9.15,1,GS
97,-61.45,9.15,1,GS
98,-61.35,9.15,1,GS
99,-61.25,9.15,1,GS
100,-61.15,9.15,1,GS
101,-61.05,9.15,1,GS
102,-60.95,9.15,1,GS
103,-60.85,9.15,1,GS
105,-61.95,9.05,1,GS
106,-61.85,9.05,1,GS
107,-61.75,9.05,1,GS
108,-61.65,9.05,1,GS
109,-61.55,9.05,1,GS
110,-61.45,9.05,1,GS
111,-61.35,9.05,1,GS
112,-61.25,9.05,1,GS
113,-61.15,9.05,1,GS
114,-61.05,9.05,1,GS
115,-60.95,9.05,1,GS
116,-60.85,9.05,1,GS
117,-62.05,8.95,1,GS
118,-61.95,8.95,1,GS
119,-61.85,8.95,1,GS
120,-61.75,8.95,1,GS
121,-61.65,8.95,1,GS
122,-61.55,8.95,1,GS
123,-61.45,8.95,1,GS
124,-61.35,8.95,1,GS
125,-61.25,8.95,1,GS
126,-61.15,8.95,1,GS
127,-61.05,8.95,1,GS
128,-60.95,8.95,1,GS
129,-60.85,8.95,1,GS
130,-61.95,8.85,1,GS
131,-61.85,8.85,1,GS
132,-61.75,8.85,1,GS
133,-61.65,8.85,1,GS
134,-61.55,8.85,1,GS
135,-61.45,8.85,1,GS
136,-61.35,8.85,1,GS
137,-61.25,8.85,1,GS
138,-61.15,8.85,1,GS
139,-61.05,8.85,1,GS
140,-60.95,8.85,1,GS
141,-60.85,8.85,1,GS
142,-62.05,8.75,1,GS
143,-61.95,8.75,1,GS
144,-61.85,8.75,1,GS
145,-61.75,8.75,1,GS
146,-61.65,8.75,1,GS
147,-61.55,8.75,1,GS
148,-61.45,8.75,1,GS
149,-61.35,8.75,1,GS
150,-61.25,8.75,1,GS
151,-61.15,8.75,1,GS
152,-61.05,8.75,1,GS
153,-60.95,8.75,1,GS
154,-60.85,8.75,1,GS
155,-60.75,8.75,1,GS
159,-61.85,8.65,1,GS
160,-61.75,8.65,1,GS
161,-61.65,8.65,1,GS
162,-61.55,8.65,1,GS
163,-61.45,8.65,1,GS
164,-61.35,8.65,1,GS
165,-61.25,8.65,1,GS
166,-61.15,8.65,1,GS
167,-61.05,8.65,1,GS
168,-60.95,8.65,1,GS
169,-60.85,8.65,1,GS
170,-60.75,8.65,1,GS
171,-60.65,8.65,1,GS
173,-62.25,8.55,1,GS
174,-62.15,8.55,1,GS
175,-62.05,8.55,1,GS
177,-61.85,8.55,1,GS
178,-61.75,8.55,1,GS
179,-61.65,8.55,1,GS
181,-61.45,8.55,1,GS
182,-61.35,8.55,1,GS
183,-61.25,8.55,1,GS
184,-61.15,8.55,1,GS
185,-61.05,8.55,1,GS
186,-60.95,8.55,1,GS
187,-60.85,8.55,1,GS
188,-60.75,8.55,1,GS
189,-60.65,8.55,1,GS
190,-60.35,8.55,1,GS
191,-60.25,8.55,1,GS
192,-60.15,8.55,1,GS
193,-60.05,8.55,1,GS
194,-62.55,8.45,1,GS
195,-62.45,8.45,1,GS
196,-62.35,8.45,1,GS
197,-62.25,8.45,1,GS
198,-62.15,8.45,1,GS
199,-62.05,8.45,1,GS
200,-61.95,8.45,1,GS
201,-61.85,8.45,1,GS
202,-61.75,8.45,1,GS
203,-61.65,8.45,1,GS
204,-61.55,8.45,1,GS
205,-61.45,8.45,1,GS
206,-61.35,8.45,1,GS
207,-61.25,8.45,1,GS
208,-61.15,8.45,1,GS
209,-61.05,8.45,1,GS
210,-60.95,8.45,1,GS
211,-60.85,8.45,1,GS
212,-60.75,8.45,1,GS
213,-60.65,8.45,1,GS
214,-60.55,8.45,1,GS
215,-60.45,8.45,1,GS
216,-60.35,8.45,1,GS
217,-60.25,8.45,1,GS
218,-60.15,8.45,1,GS
219,-60.05,8.45,1,GS
220,-59.95,8.45,1,GS
222,-62.65,8.35,1,GS
223,-62.55,8.35,1,GS
224,-62.45,8.35,1,GS
225,-62.35,8.35,1,GS
227,-62.15,8.35,1,GS
228,-62.05,8.35,1,GS
229,-61.95,8.35,1,GS
230,-61.85,8.35,1,GS
231,-61.75,8.35,1,GS
232,-61.65,8.35,1,GS
233,-61.55,8.35,1,GS
234,-61.45,8.35,1,GS
235,-61.35,8.35,1,GS
236,-61.25,8.35,1,GS
237,-61.15,8.35,1,GS
238,-61.05,8.35,1,GS
239,-60.95,8.35,1,GS
240,-60.85,8.35,1,GS
241,-60.75,8.35,1,GS
242,-60.65,8.35,1,GS
243,-60.55,8.35,1,GS
244,-60.45,8.35,1,GS
245,-60.35,8.35,1,GS
246,-60.25,8.35,1,GS
247,-60.15,8.35,1,GS
248,-60.05,8.35,1,GS
249,-59.95,8.35,1,GS
250,-59.85,8.35,1,GS
252,-63.25,8.25,1,GS
253,-63.15,8.25,1,GS
254,-63.05,8.25,1,GS
255,-62.95,8.25,1,GS
256,-62.85,8.25,1,GS
257,-62.75,8.25,1,GS
258,-62.65,8.25,1,GS
259,-62.55,8.25,1,GS
260,-62.45,8.25,1,GS
262,-62.25,8.25,1,GS
267,-61.75,8.25,1,GS
268,-61.65,8.25,1,GS
269,-61.55,8.25,1,GS
270,-61.45,8.25,1,GS
271,-61.35,8.25,1,GS
272,-61.25,8.25,1,GS
273,-61.15,8.25,1,GS
274,-61.05,8.25,1,GS
275,-60.95,8.25,1,GS
276,-60.85,8.25,1,GS
277,-60.75,8.25,1,GS
278,-60.65,8.25,1,GS
279,-60.55,8.25,1,GS
280,-60.45,8.25,1,GS
281,-60.35,8.25,1,GS
282,-60.25,8.25,1,GS
283,-60.15,8.25,1,GS
284,-60.05,8.25,1,GS
285,-59.95,8.25,1,GS
286,-59.85,8.25,1,GS
287,-59.75,8.25,1,GS
288,-59.65,8.25,1,GS
289,-59.55,8.25,1,GS
293,-63.45,8.15,1,GS
294,-63.35,8.15,1,GS
295,-63.25,8.15,1,GS
296,-63.15,8.15,1,GS
297,-63.05,8.15,1,GS
298,-62.95,8.15,1,GS
299,-62.85,8.15,1,GS
300,-62.75,8.15,1,GS
301,-62.65,8.15,1,GS
302,-62.55,8.15,1,GS
303,-62.45,8.15,1,GS
304,-62.35,8.15,1,GS
309,-61.85,8.15,1,GS
310,-61.75,8.15,1,GS
311,-61.65,8.15,1,GS
312,-61.55,8.15,1,GS
313,-61.45,8.15,1,GS
314,-61.35,8.15,1,GS
315,-61.25,8.15,1,GS
316,-61.15,8.15,1,GS
317,-61.05,8.15,1,GS
318,-60.95,8.15,1,GS
319,-60.85,8.15,1,GS
320,-60.75,8.15,1,GS
321,-60.65,8.15,1,GS
322,-60.55,8.15,1,GS
323,-60.45,8.15,1,GS
324,-60.35,8.15,1,GS
325,-60.25,8.15,1,GS
326,-60.15,8.15,1,GS
327,-60.05,8.15,1,GS
328,-59.95,8.15,1,GS
329,-59.85,8.15,1,GS
330,-59.75,8.15,1,GS
331,-59.65,8.15,1,GS
332,-59.55,8.15,1,GS
333,-59.45,8.15,1,GS
338,-63.75,8.05,1,GS
