plot_label	site	elevation	long_dd	lat_dd	X_UTM	Y_UTM	type	dim	area	no_subpl	date1	authors1	date2	authors2	comments	dbh10_inv1	sp_dbh10_inv1	fam_dbh10_inv1	indet_dbh10_inv1	dbh10_inv2	sp_dbh10_inv2	fam_dbh10_inv2	indet_dbh10_inv2	dbh2_10_inv1	sp_dbh2_10_inv1	fam_dbh2_10_inv1	indet_dbh2_10_inv1	dbh2-10_inv2	sp_dbh2_10_inv2	fam_dbh2_10_inv2	indet_dbh2_10_inv2
ALA1	Monts Tumuc-Humac - Crique Alama	400	-54.44	2.23	116620.00	247723.00	PCQ2	200x100	NA	14	2015	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock			Terra firme	112	50	18	14	0	0	0	0	0	0	0	0	0	0	0	0
ALA10	Monts Tumuc-Humac - Crique Alama	310	-54.44	2.23	116192.00	247163.00	PCQ2	60x200	NA	14	2015	Daniel Sabatier & Jean-François Molino, with Chantal Geniez			Terra firme	112	72	27	6	0	0	0	0	0	0	0	0	0	0	0	0
ALA11	Monts Tumuc-Humac - Crique Alama	460	-54.46	2.23	114870.00	247301.00	PCQ2	60x160	NA	14	2015	Daniel Sabatier & Jean-François Molino, with Chantal Geniez			Terra firme	112	23	13	9	0	0	0	0	0	0	0	0	0	0	0	0
ALA12	Monts Tumuc-Humac - Crique Alama	500	-54.46	2.23	114602.00	247286.00	PCQ2	100x200	NA	14	2015	Daniel Sabatier & Jean-François Molino, with Chantal Geniez			Terra firme	112	51	22	9	0	0	0	0	0	0	0	0	0	0	0	0
ALA13	Monts Tumuc-Humac - Crique Alama - Montagne couronnée	470	-54.47	2.24	113244.00	248518.00	PCQ2	80x180	NA	14	2015	Daniel Sabatier & Jean-François Molino, with Chantal Geniez			On a pre-Columbian earthwork site	112	60	30	9	0	0	0	0	0	0	0	0	0	0	0	0
ALA2	Monts Tumuc-Humac - Crique Alama	370	-54.44	2.25	116620.00	247723.00	PCQ2	200x100	NA	14	2015	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock			Terra firme	112	71	27	5	0	0	0	0	0	0	0	0	0	0	0	0
ALA3	Monts Tumuc-Humac - Crique Alama	330	-54.44	2.23	117211.00	249419.00	PCQ2	200x60	NA	14	2015	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock			Terra firme	112	50	22	13	0	0	0	0	0	0	0	0	0	0	0	0
ALA4	Monts Tumuc-Humac - Crique Alama	370	-54.45	2.24	116423.00	247209.00	PCQ2	200x100	NA	14	2015	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock			Terra firme	112	63	24	4	0	0	0	0	0	0	0	0	0	0	0	0
ALA5	Monts Tumuc-Humac - Crique Alama	380	-54.45	2.23	115725.00	248433.00	PCQ2	100x120	NA	14	2015	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock			Terra firme	112	61	26	6	0	0	0	0	0	0	0	0	0	0	0	0
ALA6	Monts Tumuc-Humac - Crique Alama	500	-54.45	2.23	115080.00	247408.00	PCQ2	60x200	NA	14	2015	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock			Terra firme	112	74	24	1	0	0	0	0	0	0	0	0	0	0	0	0
ALA7	Monts Tumuc-Humac - Crique Alama	320	-54.44	2.23	115265.00	247518.00	PCQ2	80x120	NA	14	2015	Daniel Sabatier & Jean-François Molino, with Chantal Geniez			Terra firme	112	66	30	3	0	0	0	0	0	0	0	0	0	0	0	0
ARW1	Monts d'Arawa	215	-53.36	2.81	237322.00	311349.00	full	100x100	1.00	100	2006	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock, Michel Tarcy & Julien Engel			Terra firme	514	94	32	1	0	0	0	0	0	0	0	0	0	0	0	0
ARW2	Monts d'Arawa	215	-53.36	2.82	236984.00	312118.00	full	100x100	1.00	100	2006	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock, Michel Tarcy & Julien Engel			Terra firme	481	106	36	0	0	0	0	0	0	0	0	0	0	0	0	0
ARW3	Monts d'Arawa	215	-53.36	2.81	236766.00	311412.00	full	100x100	1.00	100	2006	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock, Michel Tarcy & Julien Engel			Terra firme	533	97	33	1	0	0	0	0	0	0	0	0	0	0	0	0
BEI1	Haute Beiman	130	-54.13	4.46	151694.00	494074.00	full	100x100	1.00	100	2012	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock & Michel Tarcy			Terra firme	655	156	39	11	0	0	0	0	0	0	0	0	0	0	0	0
BEI2	Haute Beiman	110	-54.12	4.45	153395.00	493543.00	full	100x100	1.00	100	2012	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock & Michel Tarcy			Terra firme	507	182	37	16	0	0	0	0	0	0	0	0	0	0	0	0
BOU1	Monts Tumuc-Humac - Borne Frontière 1	360	-54.44	2.21	116523.51	244748.57	full	100x100	1.00	100	2006	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock, Michel Tarcy & Julien Engel			Terra firme	646	166	41	4	0	0	0	0	0	0	0	0	0	0	0	0
BOU2	Monts Tumuc-Humac - Borne Frontière 1	360	-54.44	2.21	117081.69	245270.18	full	100x100	1.00	100	2006	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock, Michel Tarcy & Julien Engel			Terra firme	630	151	44	5	0	0	0	0	0	0	0	0	0	0	0	0
BOU3	Monts Tumuc-Humac - Borne Frontière 1	340	-54.44	2.21	116987.87	244839.77	full	100x100	1.00	100	2006	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock, Michel Tarcy & Julien Engel			Terra firme	661	200	45	5	0	0	0	0	0	0	0	0	0	0	0	0
CAM1	Haute Camopi	200	-53.19	2.36	256083.00	261198.34	full	20x530	1.06	106	1987	Marie-Françoise Prévost & Daniel Sabatier			Strong archaeological evidence of pre-Columbian occupation	462	121	32	24	0	0	0	0	0	0	0	0	0	0	0	0
CAM2	Haute Camopi	200	-53.19	2.35	255742.64	260953.07	full	20x200	0.40	40	1987	Marie-Françoise Prévost & Daniel Sabatier			Strong archaeological evidence of pre-Columbian occupation	200	74	23	7	0	0	0	0	0	0	0	0	0	0	0	0
CVX1	Montagne des Chevaux	60	-52.39	4.71	345091.00	521035.00	full	100x100	1.00	100	2009	Daniel Sabatier & Émile Fonty, with Jean-Louis Smock & Michel Tarcy			Non-dominated forest close to a patch of Spirotropis longifolia	721	115	34	7	0	0	0	0	0	0	0	0	0	0	0	0
DOR_T16a	Site minier Dorlin - Plateau T16	100	-53.55	3.75	216760.00	414900.00	PCQ1	200	NA	11	1999	Daniel Sabatier & Philippe Birnbaum			Terra firme	77	34	19	3	0	0	0	0	0	0	0	0	0	0	0	0
DOR_T16b	Site minier Dorlin - Plateau T16	100	-53.55	3.75	216760.00	414900.00	PCQ1	260	NA	14	1999	Daniel Sabatier & Philippe Birnbaum			Terra firme	101	45	19	10	0	0	0	0	0	0	0	0	0	0	0	0
